chavepar;arquivo_psg;arquivo_hyp;canal;frequencia_amostragem_hz;indice_epoca;inicio_epoca_s;id_estagio;estagio;media;desvio_padrao;variancia;minimo;maximo;pico_a_pico;valor_rms;assimetria;curtose_excesso;potencia_delta;potencia_theta;potencia_alpha;potencia_beta;potencia_total;relativo_delta;relativo_theta;relativo_alpha;relativo_beta;razao_delta_theta;razao_delta_alpha
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;0;28830.0;1;Acordado;-1.665175698118926e-07;2.0608113146246705e-05;4.2469432744850605e-10;-7.392034337424185e-05;6.644345684890879e-05;0.0001403638002231;2.0605351022822832e-05;-0.8022972606917491;1.9783135495003088;3.5161074136875135e-10;3.3221362655549774e-11;5.745580006454398e-12;1.0473363020931931e-11;4.010510470516875e-10;0.874542533708533;0.0826297130654626;0.0142906729097903;0.0260498339644554;10.27459791440332;52.12461212116948
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;1;28860.0;1;Acordado;2.558509559865152e-07;2.479017011232628e-05;6.14552534198075e-10;-8.453463153271245e-05;9.141678238508605e-05;0.0001759514139177;2.4787358533434368e-05;-0.4130665135779681;1.1716491386550825;4.959444264366353e-10;4.281629409723304e-11;4.770205763095736e-12;1.0341145214914833e-11;5.53872071511879e-10;0.8937995835424163;0.0771642623507253;0.0085969469504893;0.0186369899402901;11.318721417564014;85.9491752631295
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;2;28890.0;1;Acordado;-1.937950373436999e-07;3.081254040111198e-05;9.494126459701578e-10;-0.0001045279215206;8.760915936188176e-05;0.0001921370808825;3.080801408083077e-05;-0.2093654325627724;0.2744452226081875;7.298039159509963e-10;6.198570995133499e-11;5.257595224071592e-12;8.410971315687858e-12;8.054581924420908e-10;0.9049494726329552;0.0768616532540042;0.0065193648887745;0.0104295193408824;11.586817335469728;116.62689736523728
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;3;28920.0;1;Acordado;-5.086671936332072e-07;2.599900693581025e-05;6.759483616483092e-10;-8.517545789559103e-05;9.200267492151514e-05;0.0001771781328171;2.5999649763826405e-05;-0.2898463483894908;0.7346516152080289;5.424501963753487e-10;4.731464499366901e-11;6.219261103444632e-12;1.6807780995970276e-11;6.127918834684326e-10;0.8837689304558016;0.0770858107902992;0.01013252418442;0.0273835178480894;11.227448663783614;75.13929591998296
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;4;28950.0;1;Acordado;1.960302849779077e-07;2.640480881171328e-05;6.97213928383131e-10;-8.794547485462326e-05;8.067243557629463e-05;0.0001686179104309;2.6401135422798863e-05;-0.2517653864599891;0.3570685947532919;4.2937690428374414e-10;4.000793058930289e-11;5.459382544419917e-12;1.0119987352100616e-11;4.849642047695676e-10;0.8835566489662428;0.082326908436134;0.0112341248405499;0.0208245530283434;10.470582107250962;66.47336666175178
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;5;28980.0;1;Acordado;2.892976984171829e-07;2.2711731339691372e-05;5.158227404463195e-10;-8.089446805190727e-05;7.906234815530428e-05;0.0001599568162072;2.2709788477463783e-05;-0.6286320326142044;1.1891799062515886;4.1929984356611324e-10;3.816633997965825e-11;5.649172592585003e-12;1.0569710111619189e-11;4.736850662499758e-10;0.883322171642333;0.0804034984314406;0.0119008854380307;0.0222667845759719;10.705617215800206;63.06045417345707
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;6;29010.0;1;Acordado;1.3693759653844306e-07;2.543552334540566e-05;6.469658478546764e-10;-8.684665645600491e-05;8.468768518505116e-05;0.000171534341641;2.543165241342772e-05;-0.4203000478751846;1.398858793597305;5.51010696862501e-10;4.31887999636796e-11;5.264758825925126e-12;1.2441344662672268e-11;6.119056003147781e-10;0.8990139698177194;0.0704656637849263;0.0085898363846263;0.0202989573863945;12.469465052578869;87.95401581658375
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;7;29040.0;1;Acordado;-5.1009285298264334e-08;2.229575874180053e-05;4.97100857872575e-10;-6.986645261142608e-05;7.671289082482885e-05;0.0001465793434362;2.229210083266725e-05;0.0725991107654007;0.6174639795860628;3.630016307644615e-10;3.050708552169053e-11;5.279754105737055e-12;7.317742116139866e-12;4.0610621250802886e-10;0.8916632063366079;0.0749364283432272;0.0129689843670291;0.0179750195190046;11.521269731995966;57.80507081206104
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;8;29070.0;1;Acordado;-7.535080276636148e-08;2.31781282070811e-05;5.372256271838885e-10;-8.962802722465134e-05;0.00010641457323;0.0001960426004547;2.3174387364465644e-05;-0.1675985350042025;2.401527594507262;4.364563867643514e-10;3.7889104498281256e-11;5.725621186377489e-12;8.521935201265398e-12;4.885930476502755e-10;0.8914676972213045;0.077388975762879;0.0116946537820679;0.0174061605698142;11.223102007495212;64.89458366290071
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;9;29100.0;1;Acordado;-1.4785045155864318e-07;2.1894522185246504e-05;4.793701017202512e-10;-7.201495421767225e-05;6.983415013374689e-05;0.0001418491043514;2.189137207765586e-05;-0.3339465494624861;0.8737484770933523;3.7021621744951277e-10;3.5455082066138626e-11;5.128879446650723e-12;7.118140707966629e-12;4.179183196702687e-10;0.8837432025911653;0.0846348330959729;0.0122431490957179;0.0169917150282884;10.155407599353309;60.40520468253403
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;10;29130.0;1;Acordado;1.762443309190069e-07;2.018699769362828e-05;4.0751487588255335e-10;-8.637951493874431e-05;5.11154599227409e-05;0.0001374949748614;2.0184402385376035e-05;-0.7784422221392552;1.381281041792759;3.01014647581254e-10;4.8405223416826953e-11;6.9279155894420065e-12;5.350208160365975e-12;3.61697994747889e-10;0.8299319321864158;0.1334587566453831;0.0191010584281217;0.0147511379655818;6.092769686347197;37.96895213946651
SC4001E;SC4001E0-PSG.edf;SC4001EC-Hypnogram.edf;Fpz-Cz;100.0;11;29160.0;1;Acordado;2.056129415813119e-08;1.85698205472416e-05;3.4483823515675643e-10;-7.213531064065346e-05;5.394617184729337e-05;0.0001260814824879;1.8566736704256574e-05;-0.6717051207023602;1.4441768387740683;2.8602500409594016e-10;3.551866128218915e-11;5.3675868788384036e-12;8.4854952071329e-12;3.3539674746410055e-10;0.850260908442535;0.1055856263472928;0.0159561200258371;0.0252246648372795;7.832297079176888;44.91890091778659
